PassengerId,Survived
892.0,0.0
893.0,0.0
894.0,0.0
895.0,0.0
896.0,0.0
897.0,0.0
898.0,0.0
899.0,0.0
900.0,0.0
901.0,0.0
,0.0
903.0,1.0
904.0,0.0
905.0,1.0
906.0,1.0
907.0,0.0
908.0,0.0
909.0,0.0
910.0,0.0
911.0,0.0
912.0,0.0
913.0,0.0
,1.0
915.0,0.0
916.0,1.0
917.0,0.0
918.0,0.0
919.0,0.0
920.0,0.0
,0.0
922.0,0.0
923.0,0.0
924.0,0.0
,0.0
926.0,0.0
927.0,0.0
,1.0
929.0,1.0
930.0,0.0
,0.0
932.0,1.0
,0.0
934.0,0.0
935.0,0.0
936.0,1.0
937.0,1.0
938.0,0.0
,0.0
940.0,0.0
941.0,1.0
942.0,0.0
943.0,0.0
944.0,0.0
945.0,0.0
,0.0
947.0,0.0
948.0,0.0
949.0,0.0
,1.0
951.0,0.0
952.0,0.0
953.0,0.0
954.0,0.0
955.0,1.0
956.0,0.0
,1.0
958.0,0.0
959.0,0.0
960.0,0.0
961.0,0.0
962.0,0.0
963.0,0.0
964.0,0.0
965.0,0.0
966.0,0.0
967.0,1.0
,0.0
969.0,0.0
970.0,1.0
971.0,0.0
972.0,0.0
973.0,0.0
974.0,1.0
,0.0
,0.0
,0.0
978.0,0.0
979.0,0.0
,0.0
981.0,0.0
982.0,1.0
,0.0
984.0,1.0
,0.0
986.0,0.0
987.0,0.0
988.0,1.0
989.0,1.0
990.0,1.0
991.0,0.0
992.0,0.0
993.0,0.0
,0.0
995.0,0.0
996.0,0.0
997.0,0.0
998.0,0.0
,0.0
,0.0
1001.0,0.0
1002.0,0.0
,0.0
1004.0,0.0
1005.0,1.0
1006.0,0.0
1007.0,0.0
,0.0
1009.0,0.0
1010.0,0.0
1011.0,0.0
1012.0,1.0
,0.0
1014.0,0.0
1015.0,0.0
,1.0
1017.0,0.0
1018.0,0.0
,0.0
1020.0,0.0
1021.0,1.0
1022.0,0.0
1023.0,0.0
,0.0
,0.0
1026.0,0.0
1027.0,0.0
1028.0,0.0
1029.0,0.0
1030.0,1.0
1031.0,1.0
1032.0,0.0
1033.0,1.0
1034.0,1.0
1035.0,0.0
1036.0,0.0
1037.0,1.0
,1.0
1039.0,0.0
,1.0
1041.0,0.0
1042.0,0.0
,0.0
,0.0
1045.0,0.0
1046.0,0.0
1047.0,0.0
1048.0,0.0
1049.0,0.0
1050.0,0.0
1051.0,0.0
,0.0
1053.0,1.0
1054.0,0.0
,0.0
1056.0,0.0
1057.0,1.0
1058.0,0.0
1059.0,0.0
,0.0
1061.0,1.0
,0.0
1063.0,0.0
1064.0,0.0
,1.0
1066.0,1.0
1067.0,0.0
1068.0,1.0
1069.0,0.0
1070.0,1.0
1071.0,0.0
1072.0,0.0
1073.0,0.0
1074.0,0.0
,1.0
1076.0,0.0
1077.0,0.0
1078.0,0.0
1079.0,0.0
,0.0
1081.0,1.0
1082.0,1.0
,1.0
1084.0,1.0
1085.0,0.0
1086.0,0.0
1087.0,1.0
1088.0,0.0
1089.0,1.0
1090.0,1.0
,0.0
,0.0
1093.0,0.0
1094.0,0.0
1095.0,0.0
1096.0,1.0
,0.0
1098.0,0.0
1099.0,0.0
1100.0,1.0
1101.0,0.0
1102.0,0.0
,0.0
1104.0,0.0
1105.0,1.0
1106.0,1.0
1107.0,0.0
,0.0
1109.0,0.0
1110.0,0.0
,0.0
1112.0,0.0
1113.0,0.0
1114.0,0.0
1115.0,0.0
1116.0,0.0
,0.0
1118.0,0.0
,0.0
1120.0,0.0
1121.0,1.0
1122.0,0.0
1123.0,0.0
1124.0,0.0
,0.0
1126.0,0.0
1127.0,1.0
1128.0,0.0
1129.0,0.0
1130.0,0.0
1131.0,0.0
1132.0,0.0
1133.0,0.0
1134.0,0.0
,1.0
,0.0
1137.0,0.0
1138.0,0.0
1139.0,0.0
1140.0,0.0
,0.0
1142.0,0.0
1143.0,0.0
1144.0,0.0
1145.0,1.0
1146.0,0.0
,1.0
,0.0
1149.0,0.0
1150.0,0.0
1151.0,1.0
1152.0,0.0
1153.0,0.0
1154.0,0.0
1155.0,0.0
1156.0,0.0
,0.0
,0.0
,0.0
,0.0
1161.0,1.0
1162.0,0.0
,0.0
1164.0,0.0
,0.0
,1.0
1167.0,1.0
1168.0,0.0
1169.0,0.0
1170.0,0.0
1171.0,0.0
1172.0,0.0
1173.0,1.0
,0.0
1175.0,0.0
1176.0,1.0
1177.0,1.0
,0.0
1179.0,1.0
,0.0
,1.0
,0.0
1183.0,0.0
,1.0
1185.0,0.0
1186.0,0.0
1187.0,1.0
1188.0,1.0
,0.0
1190.0,0.0
1191.0,0.0
1192.0,0.0
,0.0
1194.0,0.0
1195.0,1.0
,0.0
1197.0,0.0
1198.0,0.0
1199.0,0.0
1200.0,0.0
1201.0,1.0
1202.0,0.0
1203.0,0.0
,0.0
1205.0,1.0
1206.0,0.0
1207.0,1.0
1208.0,0.0
1209.0,0.0
1210.0,1.0
1211.0,0.0
1212.0,1.0
1213.0,0.0
1214.0,0.0
1215.0,0.0
1216.0,0.0
1217.0,0.0
1218.0,0.0
1219.0,1.0
1220.0,0.0
1221.0,1.0
1222.0,0.0
1223.0,
1225.0,
1226.0,
1227.0,
1228.0,
1229.0,
1230.0,
1232.0,
1233.0,
1235.0,
1237.0,
1238.0,
1239.0,
1240.0,
1241.0,
1242.0,
1243.0,
1244.0,
1245.0,
1246.0,
1247.0,
1248.0,
1251.0,
1252.0,
1253.0,
1254.0,
1255.0,
1256.0,
1259.0,
1260.0,
1261.0,
1262.0,
1263.0,
1264.0,
1265.0,
1266.0,
1267.0,
1268.0,
1269.0,
1270.0,
1271.0,
1273.0,
1275.0,
1277.0,
1278.0,
1279.0,
1280.0,
1281.0,
1282.0,
1283.0,
1284.0,
1285.0,
1286.0,
1287.0,
1288.0,
1289.0,
1290.0,
1291.0,
1292.0,
1293.0,
1294.0,
1295.0,
1296.0,
1297.0,
1298.0,
1299.0,
1301.0,
1303.0,
1304.0,
1306.0,
1307.0,
